Z:\home\cetin\projects\elkarto\esp32\laptop>python monitor.py
connecting to ws://192.168.4.1:81 ...
connected. type: kp <kp> <ki> <kd>  to push new PID gains
[11:43:18] gas=2027 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2024 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2064 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2072 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2114 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2095 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2091 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2007 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:18] gas=2001 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=78000ms heap=223316B clients=1
[11:43:19] gas=2007 brake=3364 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:19] gas=2006 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:19] gas=2012 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:19] gas=2018 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:19] gas=2102 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
